delta_b,delta_D,S_mean,S_std
-0.45,-2.0,-0.9853986721410429,0.014307579381980899
-0.45,-1.75,-0.977535026585002,0.021780271565079827
-0.45,-1.5,-0.9945960358272868,0.005184539496617596
-0.45,-1.25,-0.9745492024870979,0.030772793761392043
-0.45,-1.0,-0.9786197463298476,0.014529099340387593
-0.45,-0.75,-0.9771593027204444,0.021700875786249074
-0.45,-0.5,-0.9780112555263987,0.03154832145602967
-0.45,-0.25,-0.9768321481790071,0.023057757137025493
-0.45,0.0,-0.9698902789236683,0.026238678956918626
-0.45,0.25,-0.9435435283034528,0.041725582324481744
-0.45,0.5,-0.8966929252437665,0.05783608601357636
-0.45,0.75,-0.9364432158369788,0.03480455726502021
-0.45,1.0,-0.41401561590296454,0.6257310637224067
-0.45,1.25,-0.8457504263696445,0.14249025643912147
-0.45,1.5,-0.11034880267246719,0.5736862998257336
-0.45,1.75,0.9113805883299475,0.0412549237441544
-0.45,2.0,0.8137746980861034,0.10415759358580082
-0.4,-2.0,-0.9828145797731287,0.012046918362007237
-0.4,-1.75,-0.9763002175928592,0.02783443049750659
-0.4,-1.5,-0.9773509551658666,0.0268384738071338
-0.4,-1.25,-0.9560062143846324,0.04344376372266796
-0.4,-1.0,-0.957732351414313,0.023294040598020385
-0.4,-0.75,-0.9787225023384984,0.009468624338878828
-0.4,-0.5,-0.9815419235707216,0.021426178047807325
-0.4,-0.25,-0.9041574775130095,0.08709301896920141
-0.4,0.0,-0.8834179878466379,0.18214024830121997
-0.4,0.25,-0.8866495899574968,0.06885733939154413
-0.4,0.5,-0.8352551018824264,0.14821470848283325
-0.4,0.75,-0.830276157541471,0.18428235637331805
-0.4,1.0,-0.5772979276652057,0.3182414572031123
-0.4,1.25,0.20419704622775287,0.5757335044282276
-0.4,1.5,0.2704629080695438,0.5349716609878417
-0.4,1.75,0.7668798498336742,0.1868895485821241
-0.4,2.0,0.8278589344499752,0.09960108475618956
-0.35,-2.0,-0.9851458141232285,0.010971006118876532
-0.35,-1.75,-0.960592870894358,0.027756679709468827
-0.35,-1.5,-0.9696796508393722,0.020778916527567432
-0.35,-1.25,-0.9597107816567432,0.030769895196204027
-0.35,-1.0,-0.9802318760313865,0.008769003922481812
-0.35,-0.75,-0.9339758915266454,0.05157906430708364
-0.35,-0.5,-0.9692683589173408,0.02513589766292566
-0.35,-0.25,-0.9366811843751801,0.020793148219235856
-0.35,0.0,-0.880879187941882,0.09384186271473663
-0.35,0.25,-0.9333833145948734,0.03720188027199395
-0.35,0.5,-0.8057327468546811,0.08060842893256909
-0.35,0.75,-0.597748071071147,0.214667259896466
-0.35,1.0,-0.4729255297134233,0.2752615129611458
-0.35,1.25,0.43196718466410433,0.6070898475481691
-0.35,1.5,0.18731406740863565,0.7268437841529817
-0.35,1.75,0.6923148620830377,0.22706446005236483
-0.35,2.0,0.6733761123897333,0.30703089562153996
-0.3,-2.0,-0.9786959222814609,0.01974156009716563
-0.3,-1.75,-0.9839614290569006,0.011950228175831615
-0.3,-1.5,-0.9813151137929499,0.010685173468217611
-0.3,-1.25,-0.9417168385087628,0.06282870016720093
-0.3,-1.0,-0.9800591219018528,0.021613730163007425
-0.3,-0.75,-0.9358262696592574,0.032099069982778165
-0.3,-0.5,-0.9345208733307633,0.03156237763083852
-0.3,-0.25,-0.959570635632146,0.032052418125371906
-0.3,0.0,-0.7830848649439638,0.17558245394463817
-0.3,0.25,-0.81469211938005,0.08449001625162285
-0.3,0.5,-0.24806038745398973,0.34307106781948016
-0.3,0.75,-0.4318557813436371,0.7106933488275288
-0.3,1.0,0.15250210266715497,0.7729029663349578
-0.3,1.25,0.5871002899337593,0.4143793818584696
-0.3,1.5,0.42984400617201113,0.42636532771255053
-0.3,1.75,0.9032434284541822,0.06621320912521725
-0.3,2.0,0.7968523575300211,0.14296431996858508
-0.25,-2.0,-0.9905315086954578,0.011257893111631926
-0.25,-1.75,-0.9919907094961864,0.00730450164977887
-0.25,-1.5,-0.9606772906242055,0.04366723478218761
-0.25,-1.25,-0.9429099418581979,0.031877593502073975
-0.25,-1.0,-0.9213000698550411,0.07927104082278973
-0.25,-0.75,-0.9544197894038866,0.034435310321159915
-0.25,-0.5,-0.9678548862051268,0.03062167299120979
-0.25,-0.25,-0.9108571513227849,0.09967243630323647
-0.25,0.0,-0.764703236897742,0.2755639983675017
-0.25,0.25,-0.7975456933326708,0.1815682360199213
-0.25,0.5,-0.59279633085998,0.24447190686890774
-0.25,0.75,0.18434575078424326,0.7407966279718682
-0.25,1.0,-0.20448753902341563,0.650452695569343
-0.25,1.25,0.7756302075033784,0.24671878535622138
-0.25,1.5,0.6391761083224928,0.23984543755250698
-0.25,1.75,0.8353996063300224,0.10263836948192223
-0.25,2.0,0.8960460261261247,0.08333620908770834
-0.2,-2.0,-0.9623881118360218,0.02591412523574055
-0.2,-1.75,-0.9612439795722555,0.02329011319539347
-0.2,-1.5,-0.9544915478209838,0.05407118431760821
-0.2,-1.25,-0.9281953941968032,0.09093857451197007
-0.2,-1.0,-0.9697929426468941,0.027743266878049132
-0.2,-0.75,-0.8549115389334224,0.14080931425605706
-0.2,-0.5,-0.8968863441187906,0.06170361944110446
-0.2,-0.25,-0.8793069342010027,0.02395493238530959
-0.2,0.0,-0.6268022915759499,0.3344129401342706
-0.2,0.25,-0.4940571725931039,0.4202150186534874
-0.2,0.5,-0.19559374619403852,0.4347158837427305
-0.2,0.75,-0.33843732464611426,0.29703133015208305
-0.2,1.0,0.4913977588700414,0.2972799999328373
-0.2,1.25,0.29637219411298116,0.4458490875907579
-0.2,1.5,0.7615302806506113,0.23131781571450882
-0.2,1.75,0.8079455616689563,0.1952649358795215
-0.2,2.0,0.900931463349864,0.08293086399456366
-0.14999999999999997,-2.0,-0.9639930331905443,0.009856552296672793
-0.14999999999999997,-1.75,-0.9357308673515581,0.026458718194181136
-0.14999999999999997,-1.5,-0.9626207044390037,0.024723845790844072
-0.14999999999999997,-1.25,-0.9518065246488991,0.026138545689735046
-0.14999999999999997,-1.0,-0.9639025454491588,0.029083783308070304
-0.14999999999999997,-0.75,-0.9259526950175827,0.058625892057076606
-0.14999999999999997,-0.5,-0.8316430069777606,0.13116814268277943
-0.14999999999999997,-0.25,-0.8566106293478315,0.1764488022997344
-0.14999999999999997,0.0,-0.8127474998782335,0.17711819655900976
-0.14999999999999997,0.25,-0.40827268991276566,0.5899096123487136
-0.14999999999999997,0.5,-0.3862465490293646,0.5358964743817582
-0.14999999999999997,0.75,-0.011675658166891135,0.3667758972733398
-0.14999999999999997,1.0,0.772808679440389,0.1597322332465567
-0.14999999999999997,1.25,0.8666024806822612,0.1168102860900091
-0.14999999999999997,1.5,0.6916490079459416,0.16225194075273755
-0.14999999999999997,1.75,0.8783963175955487,0.08904519771868077
-0.14999999999999997,2.0,0.8874185819837619,0.05761872075580473
-0.09999999999999998,-2.0,-0.9546289246123539,0.0356244855166603
-0.09999999999999998,-1.75,-0.9464647777131404,0.016319444288445725
-0.09999999999999998,-1.5,-0.9559070255464095,0.02429553580182573
-0.09999999999999998,-1.25,-0.9137786024787621,0.09443043957065934
-0.09999999999999998,-1.0,-0.8875832533388284,0.03182853382964263
-0.09999999999999998,-0.75,-0.7891161100140685,0.1491463628520643
-0.09999999999999998,-0.5,-0.7922699377006329,0.06082751256116046
-0.09999999999999998,-0.25,-0.6094159180903068,0.28741631567648646
-0.09999999999999998,0.0,-0.5094220213499797,0.6249389047984808
