delta_omega,delta_D,S_mean,S_std
-0.5,-2.0,-0.9162876289651869,0.021057692008044502
-0.5,-1.75,-0.9218193480563993,0.04998746111808429
-0.5,-1.5,-0.9400517625474809,0.022360072166124532
-0.5,-1.25,-0.9247959648394135,0.06547559110507269
-0.5,-1.0,-0.8976631664201452,0.09496428879559132
-0.5,-0.75,-0.911624473614221,0.050090321633186496
-0.5,-0.5,-0.941838870773602,0.03163377325406583
-0.5,-0.25,-0.5683540752193196,0.7422025159017104
-0.5,0.0,-0.5552718850316973,0.759047583550518
-0.5,0.25,0.7156295044215424,0.35385509684459193
-0.5,0.5,0.9567528819891985,0.017122676654290556
-0.5,0.75,0.9143945492889826,0.026252588611902005
-0.5,1.0,0.9586991530004789,0.02764374703246522
-0.5,1.25,0.9426909745994442,0.03263519925856324
-0.5,1.5,0.9667851938171397,0.01958769838548618
-0.5,1.75,0.9564658612851954,0.024332440972058677
-0.5,2.0,0.9745286834329854,0.018398953555949348
-0.4,-2.0,-0.9764885177336058,0.02078900720084565
-0.4,-1.75,-0.9101113843857194,0.06250826362693235
-0.4,-1.5,-0.9233989215115443,0.03967824129854037
-0.4,-1.25,-0.9257569850218701,0.018213523940702407
-0.4,-1.0,-0.9450536154634623,0.035827852850823065
-0.4,-0.75,-0.9544266486973634,0.028670491954487235
-0.4,-0.5,-0.5282008004243685,0.7537004313919439
-0.4,-0.25,-0.8509839951663889,0.07440889481005841
-0.4,0.0,0.04908528897305988,0.8083857984640833
-0.4,0.25,0.5358535308933765,0.703547376831176
-0.4,0.5,0.9418975224168651,0.022548874930868695
-0.4,0.75,0.921807612059362,0.014265589747322756
-0.4,1.0,0.9797671554782565,0.016146866103544984
-0.4,1.25,0.9733017865068554,0.0172351066164222
-0.4,1.5,0.9464302670589042,0.0277062127095559
-0.4,1.75,0.9781692333039368,0.013271840216023168
-0.4,2.0,0.9740158074181627,0.009696373057534326
-0.3,-2.0,-0.9433320530921406,0.03834458325305186
-0.3,-1.75,-0.8851273281061127,0.05607087258655337
-0.3,-1.5,-0.8951136295947751,0.03287804895925529
-0.3,-1.25,-0.8706780516737924,0.13609206631062565
-0.3,-1.0,-0.9206081216021109,0.049443101143042206
-0.3,-0.75,-0.9339939616351259,0.04437353236469237
-0.3,-0.5,-0.6919342778052703,0.21640260515717252
-0.3,-0.25,-0.34268801016037137,0.4977723707645868
-0.3,0.0,-0.2972991658872852,0.6856383063746687
-0.3,0.25,0.5665426667177905,0.7769786993923946
-0.3,0.5,0.42748820614350824,0.7284943945935568
-0.3,0.75,0.876619066659236,0.1125627756457083
-0.3,1.0,0.9358426323363886,0.02202145174407184
-0.3,1.25,0.9744732764930635,0.008644788961591697
-0.3,1.5,0.9605834258901714,0.011048312023883847
-0.3,1.75,0.9656613039354255,0.020643363093216696
-0.3,2.0,0.9666768458805517,0.016568103615760617
-0.19999999999999996,-2.0,-0.9486831986979656,0.0261225266963168
-0.19999999999999996,-1.75,-0.9517505526539743,0.02599119622468358
-0.19999999999999996,-1.5,-0.9602985698224108,0.009048625976071452
-0.19999999999999996,-1.25,-0.9046383911475792,0.06266157436556168
-0.19999999999999996,-1.0,-0.8584761618192068,0.08847350784537368
-0.19999999999999996,-0.75,-0.849603318093237,0.1077509200822771
-0.19999999999999996,-0.5,-0.8241401823225907,0.11469534984812356
-0.19999999999999996,-0.25,-0.758035652865833,0.2139802193926322
-0.19999999999999996,0.0,-0.11725072381736472,0.7254592994927831
-0.19999999999999996,0.25,0.8003960177165623,0.28023398513005504
-0.19999999999999996,0.5,0.858892591563244,0.10510567200786304
-0.19999999999999996,0.75,0.9639608836721643,0.017184460067114004
-0.19999999999999996,1.0,0.9530446188154127,0.03125586394627267
-0.19999999999999996,1.25,0.9502051693499979,0.028359712926406436
