case,delta_D,S
Both LC,-2.0,-0.9614527625470769
Both LC,-1.8,-0.9589768618291227
Both LC,-1.6,-0.9527313921972234
Both LC,-1.4,-0.9462607254528133
Both LC,-1.2,-0.9368523329691594
Both LC,-1.0,-0.9206705286538424
Both LC,-0.7999999999999998,-0.8890047416924652
Both LC,-0.5999999999999999,-0.8250951819109756
Both LC,-0.3999999999999999,-0.6827058439149827
Both LC,-0.19999999999999996,-0.35049907527671703
Both LC,0.0,0.28472150706774396
Both LC,0.20000000000000018,0.828154594390454
Both LC,0.40000000000000036,0.96868888865295
Both LC,0.6000000000000001,0.975301702044103
Both LC,0.8000000000000003,0.977609753084564
Both LC,1.0,0.9779940134912183
Both LC,1.2000000000000002,0.9783649149877738
Both LC,1.4000000000000004,0.9794375014693611
Both LC,1.6,0.9794830890462032
Both LC,1.8000000000000003,0.9801769198472773
Both LC,2.0,0.9809333014790413
Both FP,-2.0,-0.974612648994064
Both FP,-1.8,-0.9723992107438594
Both FP,-1.6,-0.9697434912464986
Both FP,-1.4,-0.9664971292584565
Both FP,-1.2,-0.9624378020126052
Both FP,-1.0,-0.9572177008565057
Both FP,-0.7999999999999998,-0.950263562988855
Both FP,-0.5999999999999999,-0.9405749319402724
Both FP,-0.3999999999999999,-0.9262348358816388
Both FP,-0.19999999999999996,-0.9032268948943508
Both FP,0.0,-0.8616641987397256
Both FP,0.20000000000000018,-0.7734923660007927
Both FP,0.40000000000000036,-0.5319962824159541
Both FP,0.6000000000000001,-0.0015769080352414629
Both FP,0.8000000000000003,0.4307885753488529
Both FP,1.0,0.6426596617734476
Both FP,1.2000000000000002,0.7605118468410039
Both FP,1.4000000000000004,0.8266472990282381
Both FP,1.6,0.8678225145871481
Both FP,1.8000000000000003,0.8947287898972953
Both FP,2.0,0.9132421569123981
Mixed (LC vs FP),-2.0,-0.9251340194368007
Mixed (LC vs FP),-1.8,-0.9154521286500038
Mixed (LC vs FP),-1.6,-0.9038243866882789
Mixed (LC vs FP),-1.4,-0.8898841071738788
Mixed (LC vs FP),-1.2,-0.8732941233429242
Mixed (LC vs FP),-1.0,-0.8538546609079287
Mixed (LC vs FP),-0.7999999999999998,-0.8317251201614736
Mixed (LC vs FP),-0.5999999999999999,-0.8078497366072201
Mixed (LC vs FP),-0.3999999999999999,-0.7844677875694434
Mixed (LC vs FP),-0.19999999999999996,-0.7667596864515815
Mixed (LC vs FP),0.0,-0.7610184687426983
Mixed (LC vs FP),0.20000000000000018,-0.7745146103780162
Mixed (LC vs FP),0.40000000000000036,0.9645506756598268
Mixed (LC vs FP),0.6000000000000001,0.9672283597184743
Mixed (LC vs FP),0.8000000000000003,0.969067341781465
Mixed (LC vs FP),1.0,0.9715099089404893
Mixed (LC vs FP),1.2000000000000002,0.9732177839143081
Mixed (LC vs FP),1.4000000000000004,0.9764348812244774
Mixed (LC vs FP),1.6,0.9776711851476801
Mixed (LC vs FP),1.8000000000000003,0.9795374274196269
Mixed (LC vs FP),2.0,0.9814471760517784
