delta_omega,delta_D,S
0.0,-2.0,-0.9614527625470769
0.0,-1.8,-0.9589768618291227
0.0,-1.6,-0.9527313921972234
0.0,-1.4,-0.9462607254528133
0.0,-1.2,-0.9368523329691594
0.0,-1.0,-0.9206705286538424
0.0,-0.7999999999999998,-0.8890047416924652
0.0,-0.5999999999999999,-0.8250951819109756
0.0,-0.3999999999999999,-0.6827058439149827
0.0,-0.19999999999999996,-0.35049907527671703
0.0,0.0,0.28472150706774396
0.0,0.20000000000000018,0.828154594390454
0.0,0.40000000000000036,0.96868888865295
0.0,0.6000000000000001,0.975301702044103
0.0,0.8000000000000003,0.977609753084564
0.0,1.0,0.9779940134912183
0.0,1.2000000000000002,0.9783649149877738
0.0,1.4000000000000004,0.9794375014693611
0.0,1.6,0.9794830890462032
0.0,1.8000000000000003,0.9801769198472773
0.0,2.0,0.9809333014790413
0.1,-2.0,-0.9614343152193576
0.1,-1.8,-0.9562817559435479
0.1,-1.6,-0.9495221688341359
0.1,-1.4,-0.9406108125111248
0.1,-1.2,-0.9280430221473157
0.1,-1.0,-0.9095101201978651
0.1,-0.7999999999999998,-0.8808850850986308
0.1,-0.5999999999999999,-0.833957929528377
0.1,-0.3999999999999999,-0.7537559674482202
0.1,-0.19999999999999996,-0.6167235879082026
0.1,0.0,-0.37743929212748983
0.1,0.20000000000000018,0.05406948575576874
0.1,0.40000000000000036,0.4973928147746516
0.1,0.6000000000000001,0.7064497171426604
0.1,0.8000000000000003,0.8111280752004533
0.1,1.0,0.8708358119008133
0.1,1.2000000000000002,0.9063874703253252
0.1,1.4000000000000004,0.9286260391224542
0.1,1.6,0.9425258035935189
0.1,1.8000000000000003,0.953029756472227
0.1,2.0,0.96061087342971
0.2,-2.0,-0.9611593020236924
0.2,-1.8,-0.9559042689133966
0.2,-1.6,-0.9497260059390039
0.2,-1.4,-0.9413394412256839
0.2,-1.2,-0.9298406268867068
0.2,-1.0,-0.9133599068693308
0.2,-0.7999999999999998,-0.8895951305030897
0.2,-0.5999999999999999,-0.8537645258970114
0.2,-0.3999999999999999,-0.7978084187252481
0.2,-0.19999999999999996,-0.7084377698602856
0.2,0.0,-0.5562217383222697
0.2,0.20000000000000018,-0.16858658378050254
0.2,0.40000000000000036,0.502480727807961
0.2,0.6000000000000001,0.7045715774846025
0.2,0.8000000000000003,0.8043552527643463
0.2,1.0,0.8623541594455291
0.2,1.2000000000000002,0.900193729839918
0.2,1.4000000000000004,0.9233501495164955
0.2,1.6,0.9387147380347514
0.2,1.8000000000000003,0.9502341557897831
0.2,2.0,0.9584249709056563
0.3,-2.0,-0.9634418529635729
0.3,-1.8,-0.9594768576809044
0.3,-1.6,-0.9539689408564411
0.3,-1.4,-0.9469194689298851
0.3,-1.2,-0.9375292261297556
0.3,-1.0,-0.9248266586622458
0.3,-0.7999999999999998,-0.9070302200520578
0.3,-0.5999999999999999,-0.8813656409762896
0.3,-0.3999999999999999,-0.8444910154275206
0.3,-0.19999999999999996,-0.7836825172056137
0.3,0.0,-0.6802779573950399
0.3,0.20000000000000018,0.5039528309315163
0.3,0.40000000000000036,0.6805665113450794
0.3,0.6000000000000001,0.7601611178590089
0.3,0.8000000000000003,0.8259242435760011
0.3,1.0,0.8705360371059679
0.3,1.2000000000000002,0.9024557579750139
0.3,1.4000000000000004,0.9232729669245686
0.3,1.6,0.9380573634614103
0.3,1.8000000000000003,0.9493478881673783
0.3,2.0,0.9573763301651058
0.5,-2.0,-0.9780698895102011
0.5,-1.8,-0.9775860193590125
0.5,-1.6,-0.9767570571682449
0.5,-1.4,-0.9757354973070079
0.5,-1.2,-0.9749131003691244
0.5,-1.0,-0.9736249578034522
0.5,-0.7999999999999998,-0.9713570517357246
0.5,-0.5999999999999999,-0.9691224491930996
0.5,-0.3999999999999999,-0.9079887517632125
0.5,-0.19999999999999996,0.1462536993445693
0.5,0.0,0.985878265106921
0.5,0.20000000000000018,0.986067712795651
0.5,0.40000000000000036,0.9859953961771039
0.5,0.6000000000000001,0.9853000876941022
0.5,0.8000000000000003,0.985130630129612
0.5,1.0,0.984436073822275
0.5,1.2000000000000002,0.9841703527431523
0.5,1.4000000000000004,0.9841390804855942
0.5,1.6,0.9837385341348641
0.5,1.8000000000000003,0.9837308131194225
0.5,2.0,0.9836541139903275
0.8,-2.0,-0.9680186619400769
0.8,-1.8,-0.9654729965291109
0.8,-1.6,-0.9624205715794978
0.8,-1.4,-0.958794592288479
0.8,-1.2,-0.9544249182488569
0.8,-1.0,-0.9493258613024718
0.8,-0.7999999999999998,-0.9128599461701442
0.8,-0.5999999999999999,-0.8716355816287706
0.8,-0.3999999999999999,0.9550228939417116
0.8,-0.19999999999999996,0.9478387750185655
0.8,0.0,0.939435617725923
0.8,0.20000000000000018,0.9305505575929408
0.8,0.40000000000000036,0.9233897703568144
0.8,0.6000000000000001,0.9218759925649113
0.8,0.8000000000000003,0.9246850468085115
0.8,1.0,0.9302785002281679
0.8,1.2000000000000002,0.9370475809523275
0.8,1.4000000000000004,0.9436157098634362
0.8,1.6,0.9500166550548447
0.8,1.8000000000000003,0.9556967200643379
0.8,2.0,0.9603268975365912
