D_mean,delta_D,dS_dOmega_mean,dS_dOmega_std
1.5,0.0,-3.6447520571254346,4.5212078327118945
1.5,0.5,-0.11183485811328753,0.1745966580855727
1.5,1.0,-0.021874170584327945,0.05434187068454584
2.0,0.0,-4.091371503540948,4.379912848240975
2.0,0.5,-0.2615829743939826,0.3643842904656957
2.0,1.0,-0.04930157404837843,0.08540159138492967
2.5,0.0,-3.8132344105170617,3.622253787089371
2.5,0.5,-0.504915743143294,0.6982126933950707
2.5,1.0,-0.08959444253283033,0.1352718127710702
3.0,0.0,-3.6274274970644464,3.1713404742670623
3.0,0.5,-0.982150457977523,1.3778281352254702
3.0,1.0,-0.1542589506661951,0.21461098015322638
3.5,0.0,-3.636116903024734,3.115164628601389
3.5,0.5,-3.4867241933162783,5.998185384722021
3.5,1.0,-0.2559343814262691,0.3339207525896832
4.0,0.0,-3.7725138603185115,3.3154181374001297
4.0,0.5,-2.85845676558797,4.9776576585293215
4.0,1.0,-0.40717279972108145,0.5036301090325841
