delta_D,delta_gamma,S_mean,S_std
-1.0,0.0,-0.9279580298991682,0.04073733081669251
-1.0,0.1,-0.9605940376709567,0.027262088264710146
-1.0,0.2,-0.95211081131557,0.01779373498387378
-1.0,0.3,-0.949534238901151,0.01723760865919398
-1.0,0.4,-0.9451122961028224,0.02801639320274362
-1.0,0.5,-0.9385822155240453,0.029408723806205614
-1.0,0.6,-0.9350194734384802,0.03592364403661469
-1.0,0.8,-0.9316480447642717,0.02278904274508183
-1.0,1.0,-0.9232673257182364,0.029133553571256552
-0.5,0.0,-0.7913572591905977,0.16105835477898173
-0.5,0.1,-0.9248515292787424,0.057724712476679915
-0.5,0.2,-0.9023059157900196,0.048285153351403334
-0.5,0.3,-0.8956984551603631,0.05159530620719733
-0.5,0.4,-0.8853666590653889,0.08277889445616379
-0.5,0.5,-0.8746917027508101,0.08079699930502299
-0.5,0.6,-0.857855291285704,0.12127775532427423
-0.5,0.8,-0.8396718794087441,0.11344136387438243
-0.5,1.0,-0.8025887240988189,0.16973620323374614
0.0,0.0,0.21176696984943355,0.5548106201264851
0.0,0.1,-0.724304442497018,0.18807878897703487
0.0,0.2,-0.5876577452301488,0.23589003429209124
0.0,0.3,-0.5494334043695766,0.2869862672317476
0.0,0.4,-0.5276525101450521,0.4712656068645721
0.0,0.5,-0.5814951188587125,0.3690569299171302
0.0,0.6,-0.4761978950655668,0.560904011500888
0.0,0.8,-0.38335873170436496,0.5225419004535291
0.0,1.0,-0.3459497861522706,0.560698418802962
0.5,0.0,0.9341179643721753,0.08973400367792252
0.5,0.1,0.32935423663985325,0.5071217829751163
0.5,0.2,0.7224946615119245,0.28682976232023216
0.5,0.3,0.7336218426641736,0.25417156145492686
0.5,0.4,0.3713850219653493,0.5090889273911571
0.5,0.5,0.35398536098357963,0.40551029497341
0.5,0.6,0.3509701585450687,0.5400234010406136
0.5,0.8,0.6987366403168733,0.24040383106819369
0.5,1.0,0.6795440677059068,0.2520719720574974
1.0,0.0,0.969573158507627,0.033455359740574946
1.0,0.1,0.8937258261745955,0.05063463606670956
1.0,0.2,0.9594078300466007,0.05304883119322352
1.0,0.3,0.9561373143121108,0.05395909810907066
1.0,0.4,0.8940934616700742,0.07258778765437335
1.0,0.5,0.8574767447652795,0.07032112918673991
1.0,0.6,0.8844536372467287,0.08289157025368221
1.0,0.8,0.9306867789614822,0.065519620628393
1.0,1.0,0.9181796518696226,0.0741401804655852
